PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,1,False,149,2,39,False,0,0,0,0,0,5252,False
1,0,False,2184,2,24,False,109,9,25,549,44,4502,True
2,1,False,1,2,58,True,43,3576,0,6715,49,457,False
3,1,False,1,2,33,False,0,1283,371,3329,193,7149,False
4,0,False,2186,2,16,False,303,70,151,565,2,8319,True
5,0,False,2183,1,44,False,0,483,0,291,0,6878,True
6,0,False,3425,2,26,False,42,1539,3,0,0,1155,True
7,0,True,4559,2,28,False,0,0,0,0,304,1453,True
8,0,False,3565,2,35,False,0,785,17,216,0,556,True
9,1,True,150,0,14,False,0,0,0,0,0,2864,True
10,1,True,150,2,34,False,0,0,173,0,0,453,True
11,1,False,150,0,45,False,39,7295,589,110,124,8255,True
12,2,False,2185,2,32,False,73,0,1123,0,113,1084,True
13,0,False,4561,2,48,False,719,1,65,0,24,6576,False
14,0,False,3424,2,28,False,8,974,12,2,7,2699,True
15,0,False,6156,2,31,False,32,0,876,0,0,4535,False
16,2,False,3564,0,27,False,1286,122,173,0,0,3060,False
17,0,False,3696,0,24,False,0,1,0,0,637,1548,False
18,2,True,3844,2,45,False,0,0,0,0,0,465,True
19,0,False,4558,2,0,False,0,0,0,0,0,5172,True
20,0,False,3988,0,14,False,412,0,1,0,679,6244,False
21,0,True,1407,2,1,False,0,0,0,0,0,364,False
22,0,True,1407,0,49,False,0,0,0,0,0,3371,False
23,0,True,1407,0,29,False,0,0,173,0,0,5676,False
24,0,False,1407,2,10,False,0,0,0,0,0,1343,True
25,0,True,1407,1,1,False,224,0,0,0,0,5239,False
26,0,False,1407,2,7,False,0,0,0,0,0,7606,False
27,2,False,1034,2,21,False,980,2,69,0,0,414,False
28,1,True,750,2,62,False,0,0,173,0,0,6208,True
29,0,False,3989,2,15,False,0,225,0,998,0,4561,False
30,1,False,598,0,34,False,22,6073,0,1438,328,664,False
31,2,False,4268,2,43,False,1125,0,136,48,0,1627,False
32,0,False,5660,2,32,False,0,850,81,437,453,3355,False
33,2,False,4406,2,47,False,214,0,1411,0,1229,1900,True
34,2,False,4406,2,2,False,0,0,0,0,0,1780,True
35,2,False,4406,2,20,False,224,0,1750,990,0,2367,True
36,1,True,1036,0,28,False,0,0,0,0,0,8451,True
37,2,False,1035,0,23,False,784,964,0,951,0,5147,False
38,0,False,4269,0,15,False,0,492,48,20,401,5336,False
39,0,False,2188,0,20,False,554,195,0,2606,0,5046,False
40,0,True,4560,0,30,False,0,0,173,0,0,4456,False
41,0,True,5362,2,17,False,0,0,0,0,0,5311,True
42,1,False,461,2,45,False,0,164,45,2511,855,586,False
43,0,True,5513,2,55,False,0,0,0,0,0,4396,False
44,0,True,5513,0,4,False,0,0,0,0,0,4630,True
45,0,True,5513,1,21,False,0,0,0,0,0,1567,True
46,2,False,2187,2,21,False,970,0,180,0,64,8443,False
47,2,True,2187,2,19,False,0,0,0,0,0,5389,True
48,0,False,1408,0,35,False,790,0,0,311,0,7173,False
49,0,False,1557,2,56,False,0,112,0,1379,127,8061,False
50,0,False,5955,2,28,False,4,0,2,4683,0,2589,False
51,0,False,2330,2,25,False,0,0,1938,0,1,2733,True
52,1,False,2,2,2,False,0,0,0,0,0,6054,True
53,1,True,2,2,38,False,0,0,0,0,0,4041,True
54,1,False,2,2,27,False,279,605,3374,286,3,8456,True
55,0,True,6108,1,36,False,0,0,0,0,0,8134,False
56,0,False,2482,2,22,False,45,1096,148,1377,1,7040,False
57,0,False,2628,2,62,False,0,592,0,17,25,7298,False
58,2,True,2763,2,15,False,0,0,0,0,0,414,True
59,0,True,1697,2,33,False,0,0,173,0,0,1870,True
60,0,False,5954,2,62,False,1,153,197,0,460,2272,False
61,0,True,4562,1,0,False,0,0,0,0,0,5981,True
62,0,False,4562,2,18,False,1,258,446,0,0,1602,True
63,0,False,2905,0,21,False,1946,37,0,0,24,7991,False
64,2,False,1845,2,28,False,793,0,2,253,0,1793,False
65,0,False,3044,2,42,False,887,0,9,6,0,414,True
66,0,False,2627,2,19,False,190,0,5,1,726,5507,False
67,0,False,2762,2,17,False,16,2165,0,0,52,5916,False
68,0,False,3190,2,14,False,0,1,0,0,1063,7647,False
69,2,False,1303,1,37,False,46,83,738,0,12,3463,False
70,1,False,903,2,42,False,1,8397,0,0,506,202,True
71,2,False,3331,2,27,False,147,0,1018,0,0,1895,True
72,2,False,2904,2,28,False,14,0,1295,0,0,6324,True
73,1,False,950,2,38,False,0,5840,0,321,9654,7200,False
74,0,True,4992,2,13,False,0,0,0,0,0,2200,False
75,2,False,3043,2,42,False,7406,0,0,0,0,7829,False
76,2,True,3043,2,2,False,0,0,0,0,0,2500,True
77,2,False,3043,2,8,False,0,0,0,0,0,414,True
78,0,False,5139,2,24,False,688,0,0,0,17,1935,True
79,1,True,962,2,40,False,0,0,0,0,0,3156,True
80,0,False,3189,2,43,False,211,0,0,638,513,4399,False
81,2,True,1988,1,45,False,0,0,0,0,0,7320,True
82,0,True,5281,2,35,False,0,0,0,0,0,3842,True
83,0,True,5303,2,26,False,224,0,0,0,0,2161,True
84,0,False,3426,2,27,False,1,697,31,188,0,7748,False
85,0,False,6402,2,19,False,0,0,670,1,34,3487,False
86,0,True,6402,2,0,False,0,0,173,0,0,7232,True
87,0,True,6402,2,3,False,0,0,0,0,0,7743,True
88,1,False,24,2,54,False,0,1208,0,3,637,164,False
89,0,False,4710,2,26,False,0,856,5,32,0,2394,False
90,0,False,4710,2,26,False,0,2811,957,0,87,4850,True
